Price per m2 (dollars);LCI
82,166;0,809429267
202,209;0,809429267
84,539;0,81928388
80,78;0,81928388
91,185;0,81928388
88,63;0,81928388
10,588;0,757299732
1,879;0,778808427
7,589;0,913565474
78,332;0,824150378
84,654;0,857632208
81,588;0,809429267
100,754;0,749920058
11,336;0,749920058
72,374;0,697172741
1005,848;0,817545015
101,375;0,831249565
191,638;0,792836633
308,523;0,777674432
5,852;0,718793849
2,455;0,718793849
96,118;0,757013101
35,315;0,757013101
76,009;0,782704981
13,351;0,686657776
71,969;0,686657776
142,887;0,717259418
121,459;0,717259418
113,716;0,775900976
223,585;0,783461639
75,386;0,841368558
139,349;0,783305584
130,763;0,783305584
145,284;0,818967705
129,497;0,862053601
168,627;0,877058605
149,469;0,846525863
150,046;0,846525863
232,255;0,869449992
265,111;0,869449992
264,93;0,864409449
137,45;0,791790087
122,96;0,845850081
151,3;0,871373369
87,233;0,871373369
87,628;0,871373369
183,292;0,871373369
84,754;0,871373369
83,882;0,871373369
85,933;0,871373369
59,994;0,871373369
60,038;0,871373369
60,041;0,871373369
60,04;0,871373369
62,372;0,871373369
59,993;0,871373369
127,677;0,871373369
60,658;0,871373369
59,933;0,871373369
63,89;0,871373369
58,997;0,871373369
60,037;0,871373369
60,007;0,871373369
60,133;0,871373369
59,509;0,871373369
56,039;0,871373369
58,985;0,871373369
59,716;0,871373369
59,847;0,871373369
59,967;0,871373369
59,987;0,871373369
628,321;0,871373369
58,452;0,871373369
60,011;0,871373369
60,012;0,871373369
60,015;0,871373369
60,01;0,871373369
59,974;0,871373369
60,005;0,871373369
60,016;0,871373369
49,085;0,871373369
59,984;0,871373369
60,013;0,871373369
60,018;0,871373369
60,017;0,871373369
60,212;0,871373369
59,929;0,871373369
59,979;0,871373369
60,007;0,871373369
60,008;0,871373369
21,893;0,871373369
42,952;0,83529136
83,937;0,83529136
55,056;0,83529136
9,294;0,83529136
20,343;0,83529136
7,38;0,83529136
0,402;0,83529136
85,673;0,83529136
65,478;0,838572394
3,535;0,876612653
169,582;0,876612653
36,816;0,792124926
18,472;0,79682495
70,404;0,79682495
260,94;0,79682495
100,647;0,748965536
7,593;0,768352635
73,21;0,729228624
73,878;0,729228624
67,261;0,729228624
68,37;0,729228624
71,835;0,775345067
88,888;0,775345067
135,429;0,775003223
66,03;0,775003223
255,615;0,775003223
119,03;0,876612653
184,327;0,843554129
380,481;0,843554129
200,394;0,838821929
137,766;0,838821929
443,955;0,838821929
40,203;0,838572394
75,816;0,838572394
164,065;0,86978084
60,012;0,871373369
60,012;0,871373369
60,012;0,871373369
174,19;0,770396525
153,962;0,891659027
54,316;0,763032706
50,141;0,763032706
117,427;0,763032706
48,207;0,763032706
81,78;0,763032706
74,092;0,729111524
117,668;0,776172235
75,916;0,776172235
108,917;0,83007094
158,82;0,83007094
106,524;0,83007094
88,494;0,83007094
96,482;0,83007094
59,787;0,841562429
60,284;0,841562429
54,444;0,841562429
54,913;0,841562429
60,543;0,841562429
58,841;0,841562429
110,912;0,841562429
56,801;0,841562429
56,784;0,841562429
56,804;0,841562429
57,254;0,841562429
27,844;0,841562429
52,249;0,841562429
56,773;0,841562429
57,235;0,841562429
56,889;0,841562429
56,659;0,841562429
51,557;0,841562429
48,828;0,841562429
45,977;0,841562429
78,63;0,841562429
59,963;0,841562429
